,Name,Source,AuraStrength,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,AL,Int,Wis,Cha,Ego,Communication,Senses,Powers,MagicItems,FullText,Destruction,MinorArtifactFlag,MajorArtifactFlag,Abjuration,Conjuration,Divination,Enchantment,Evocation,Necromancy,Transmutation,WeightValue,PriceValue,CostValue,Languages,BaseItem,LinkText,id,Mythic,LegendaryWeapon,Illusion,Universal,Scaling,IsIntelligentItem,Quantity
0,Runechill Hatchet,RotRL-AE-Appendix,moderate,moderate necromancy,5.0,none,"5,312 gp",6 lbs.,"Runechill hatchets are sized for Large creatures, but resizes so it can be wielded by Medium creatures as battleaxes or Small creatures as greataxes. Their blades are jagged and carved with Thassilonian runes, and the weapons always feel cold to the touch. A runechill hatchet otherwise functions as a +1 battleaxe, but once per day as a free action, its wielder can cause the runes on the blade to flare up with flickering cold blue light. For the next 5 rounds, the axe deals an additional +1d6 points of negative energy damage on a hit. Any creature that takes any amount of this additional negative energy damage must also succeed at a DC 12 Fortitude save or take 1 point of Strength damage. An undead creature struck by a runechill hatchet does not gain this negative energy as healing, but instead must make a DC 12 Will saving throw or flee as if panicked for 1d4+5 rounds.","Craft Magic Arms and Armor, chill touch","2,812 gp",Weapon,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Runechill Hatchet</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate necromancy; <b>CL </b>5th</h5><h5><b>Slot </b>none; <b>Price </b>5,312 gp; <b>Weight </b>6 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Runechill hatchets</i> are sized for Large creatures, but resizes so it can be wielded by Medium creatures as battleaxes or Small creatures as greataxes. Their blades are jagged and carved with Thassilonian runes, and the weapons always feel cold to the touch. A <i>runechill hatchet</i> otherwise functions as a <i>+1 battleaxe</i>, but once per day as a free action, its wielder can cause the runes on the blade to flare up with flickering cold blue light. For the next 5 rounds, the axe deals an additional +1d6 points of negative energy damage on a hit. Any creature that takes any amount of this additional negative energy damage must also succeed at a DC 12 Fortitude save or take 1 point of Strength damage. An undead creature struck by a <i>runechill hatchet</i> does not gain this negative energy as healing, but instead must make a DC 12 Will saving throw or flee as if panicked for 1d4+5 rounds.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Magic Arms and Armor, <i>chill touch</i>; <b>Cost </b>2,812 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5312.0,2812.0,,+1 battleaxe,NULL,1226.0,0.0,0.0,0.0,0.0,,0.0,1
1,Mask Of Stony Demeanor,Ultimate Equipment,moderate,moderate transmutation,6.0,head,"8,000 gp",4 lbs.,"When worn, this mask transforms the wearer's face into a stone statue and its voice into an emotionless monotone. Though it allows the wearer to speak, its facial expressions and voice betray little emotion, granting a +10 competence bonus on Bluff checks made to lie and a +5 competence bonus on Bluff checks made to feint, but also imposing a -5 penalty on Bluff checks made to pass a hidden message.","Craft Wondrous Item, innocence (Advanced Player's Guide), stone shape","4,000 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Mask Of Stony Demeanor</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate transmutation; <b>CL </b>6th</h5><h5><b>Slot </b>head; <b>Price </b>8,000 gp; <b>Weight </b>4 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>When worn, this mask transforms the wearer's face into a stone statue and its voice into an emotionless monotone. Though it allows the wearer to speak, its facial expressions and voice betray little emotion, granting a +10 competence bonus on Bluff checks made to lie and a +5 competence bonus on Bluff checks made to feint, but also imposing a -5 penalty on Bluff checks made to pass a hidden message.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>innocence (Advanced Player's Guide)</i>, <i>stone shape</i>; <b>Cost </b>4,000 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8000.0,4000.0,,,NULL,1933.0,0.0,0.0,0.0,0.0,,0.0,1
2,Ring Of The Sophisticate,Ultimate Equipment,moderate,moderate transmutation and divination,8.0,ring,"11,000 gp",-,"Often worn on the little finger, this ring grants its wearer a +4 competence bonus on Sense Motive and Knowledge (local) checks. Also, once per day on command, the wearer can use the ring to cast either locate creature or locate object (the wearer's choice). Furthermore, on command and at will, the wearer can instantly know the direction from herself to the nearest tavern, pub, or similar watering hole as long as that establishment is in a settlement whose population is equivalent to that of a village or greater (GameMastery Guide 203) and that is within 20 miles of the wearer.","Forge Ring, know direction, locate creature, locate object, creator must have at least 4 ranks in both Sense Motive and Knowledge (local)","5,500 gp",Ring,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Ring Of The Sophisticate</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate transmutation and divination; <b>CL </b>8th</h5><h5><b>Slot </b>ring; <b>Price </b>11,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Often worn on the little finger, this ring grants its wearer a +4 competence bonus on Sense Motive and Knowledge (local) checks. Also, once per day on command, the wearer can use the ring to cast either <i>locate creature</i> or <i>locate object</i> (the wearer's choice). Furthermore, on command and at will, the wearer can instantly know the direction from herself to the nearest tavern, pub, or similar watering hole as long as that establishment is in a settlement whose population is equivalent to that of a village or greater (<i>GameMastery Guide</i> 203) and that is within 20 miles of the wearer.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Forge Ring, <i>know direction</i>, <i>locate creature</i>, <i>locate object</i>, creator must have at least 4 ranks in both Sense Motive and Knowledge (local); <b>Cost </b>5,500 gp</h5></div>",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11000.0,5500.0,,,NULL,1463.0,0.0,0.0,0.0,0.0,,0.0,1
3,Migrus Locker,Ultimate Equipment,moderate,moderate evocation,6.0,none,"10,000 gp",20 lbs.,"This small locker is carved from fossilized wood and it is usually found chained and sealed. When the locker is unsealed and opened, the migrus-a desiccated hairless cat with a humanoid face-is found within. After a few moments the migrus animates and begins to clean itself, and its face begins to take the appearance of the creature who opened the migrus locker. The migrus considers the last creature to release it from the locker is its master. The migrus moves in a strange jerky motion. It obeys simple verbal commands from its master. The migrus takes a very literal and brutal approach to problem solving and is fond of taking trophies. If the migrus is slain, it decays messily overnight in a glistening slick of putrid fluid. At the next dawn, the migrus reconstitutes within its locker (if the locker is opened before dawn, the partially-reconstituted migrus is visible inside, consuming the remnants of its former body. The migrus has attributes of a cat familiar (Bestiary 131) except it has the construct type. The migrus always does its best to return to its master and cannot be permanently destroyed by normal means. If the locker is destroyed (hardness 5, 10 hp), the migrus is destroyed, no matter the distance to the locker.","Craft Wondrous Item, reincarnate or stone to flesh","5,000 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Migrus Locker</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate evocation; <b>CL </b>6th</h5><h5><b>Slot </b>none; <b>Price </b>10,000 gp; <b>Weight </b>20 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This small locker is carved from fossilized wood and it is usually found chained and sealed. When the locker is unsealed and opened, the migrus-a desiccated hairless cat with a humanoid face-is found within. After a few moments the migrus animates and begins to clean itself, and its face begins to take the appearance of the creature who opened the <i>migrus locker</i>. The migrus considers the last creature to release it from the locker is its master. </p><p>The migrus moves in a strange jerky motion. It obeys simple verbal commands from its master. The migrus takes a very literal and brutal approach to problem solving and is fond of taking trophies. If the migrus is slain, it decays messily overnight in a glistening slick of putrid fluid. At the next dawn, the migrus reconstitutes within its locker (if the locker is opened before dawn, the partially-reconstituted migrus is visible inside, consuming the remnants of its former body. </p><p>The migrus has attributes of a cat familiar (<i>Bestiary</i> 131) except it has the construct type. The migrus always does its best to return to its master and cannot be permanently destroyed by normal means. If the locker is destroyed (hardness 5, 10 hp), the migrus is destroyed, no matter the distance to the locker.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>reincarnate or stone to flesh</i>; <b>Cost </b>5,000 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,10000.0,5000.0,,,NULL,2329.0,0.0,0.0,0.0,0.0,,0.0,1
4,Amulet Of Proof Against Petrification,Ultimate Equipment,moderate,moderate abjuration,8.0,neck,"8,000 gp",-,"This finely polished wooden amulet has the image of a blindfolded medusa carved upon its surface. Whenever the wearer fails a saving throw that would result in him being turned to stone, he is instead staggered for 1d6 rounds. If a spell or effect turns him to stone without allowing a saving throw, he is instead staggered for 1 minute. These abilities do not function while the wearer is staggered.","Craft Wondrous Item, stone to flesh","4,000 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Amulet Of Proof Against Petrification</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate abjuration; <b>CL </b>8th</h5><h5><b>Slot </b>neck; <b>Price </b>8,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This finely polished wooden amulet has the image of a blindfolded medusa carved upon its surface. Whenever the wearer fails a saving throw that would result in him being turned to stone, he is instead staggered for 1d6 rounds. If a spell or effect turns him to stone without allowing a saving throw, he is instead staggered for 1 minute. These abilities do not function while the wearer is staggered.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>stone to flesh</i>; <b>Cost </b>4,000 gp</h5></div>",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,4000.0,,,NULL,2012.0,0.0,0.0,0.0,0.0,,0.0,1
5,Poet's Cloak,Advanced Class Guide,moderate,moderate enchantment,7.0,shoulders,"9,750 gp",1 lb.,"Even after cleaning and mending, this traveler's cloak appears worn and weathered. For wearers with the bardic performance class feature, it grants the use of raging song as a 4th-level skald by spending rounds of bardic performance. For wearers with the raging song class feature, it grants the use of inspire courage and inspire competence as a 4th-level bard by spending rounds of raging song. In addition, each poet's cloak allows its wearer to grant one specific rage power when using raging song in place of his own rage powers (if any). The specific rage power varies by cloak. It must be usable by a 4th-level skald, and can't have any prerequisites other than level.","Craft Wondrous Item, good hope, rage, creator must have the bardic performance or raging song class feature","4,875 gp",Wondrous Item,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Poet's Cloak</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate enchantment; <b>CL </b>7th</h5><h5><b>Slot </b>shoulders; <b>Price </b>9,750 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Even after cleaning and mending, this traveler's cloak appears worn and weathered. For wearers with the bardic performance class feature, it grants the use of raging song as a 4th-level skald by spending rounds of bardic performance. For wearers with the raging song class feature, it grants the use of inspire cou<i>rage</i> and inspire competence as a 4th-level bard by spending rounds of raging song. In addition, each <i>poet's cloak</i> allows its wearer to grant one specific <i>rage</i> power when using raging song in place of his own <i>rage</i> powers (if any). The specific <i>rage</i> power varies by cloak. It must be usable by a 4th-level skald, and can't have any prerequisites other than level.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>good hope</i>, <i>rage</i>, creator must have the bardic performance or raging song class feature; <b>Cost </b>4,875 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9750.0,4875.0,,,NULL,3550.0,0.0,0.0,0.0,0.0,,0.0,1
6,Ring Of Evasion,Ultimate Equipment,moderate,moderate transmutation,7.0,ring,"25,000 gp",-,"This ring continually grants the wearer the ability to avoid damage as if she had evasion. Whenever she makes a Reflex saving throw to determine whether she takes half damage, a successful save results in no damage.","Forge Ring, jump","12,500 gp",Ring,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Ring Of Evasion</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate transmutation; <b>CL </b>7th</h5><h5><b>Slot </b>ring; <b>Price </b>25,000 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This ring continually grants the wearer the ability to avoid damage as if she had evasion. Whenever she makes a Reflex saving throw to determine whether she takes half damage, a successful save results in no damage.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Forge Ring, <i>jump</i>; <b>Cost </b>12,500 gp</h5></div>",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25000.0,12500.0,,,NULL,1412.0,0.0,0.0,0.0,0.0,,0.0,1
